THINID,COLOR
v-border-0-0-0-1,"rgb(218, 218, 218)"
v-border-0-1-0-2,"rgb(218, 218, 218)"
v-border-0-2-0-3,"rgb(218, 218, 218)"
v-border-0-3-0-4,"rgb(218, 218, 218)"
v-border-0-4-0-5,"rgb(218, 218, 218)"
v-border-0-5-0-6,"rgb(218, 218, 218)"
v-border-0-6-0-7,"rgb(218, 218, 218)"
v-border-0-7-0-8,"rgb(218, 218, 218)"
v-border-0-8-0-9,"rgb(218, 218, 218)"
v-border-0-9-0-10,"rgb(218, 218, 218)"
v-border-0-10-0-11,"rgb(218, 218, 218)"
v-border-0-11-0-12,"rgb(218, 218, 218)"
v-border-0-12-0-13,"rgb(218, 218, 218)"
v-border-0-13-0-14,"rgb(218, 218, 218)"
v-border-0-14-0-15,"rgb(218, 218, 218)"
v-border-0-15-0-16,black
v-border-0-16-0-17,"rgb(218, 218, 218)"
v-border-0-17-0-18,"rgb(218, 218, 218)"
v-border-0-18-0-19,"rgb(218, 218, 218)"
v-border-0-19-0-20,"rgb(218, 218, 218)"
v-border-0-20-0-21,"rgb(218, 218, 218)"
v-border-0-21-0-22,"rgb(218, 218, 218)"
v-border-0-22-0-23,"rgb(218, 218, 218)"
v-border-0-23-0-24,"rgb(218, 218, 218)"
v-border-0-24-0-25,"rgb(218, 218, 218)"
v-border-0-25-0-26,"rgb(218, 218, 218)"
v-border-0-26-0-27,"rgb(218, 218, 218)"
v-border-0-27-0-28,"rgb(218, 218, 218)"
v-border-0-28-0-29,"rgb(218, 218, 218)"
v-border-0-29-0-30,"rgb(218, 218, 218)"
v-border-0-30-0-31,"rgb(218, 218, 218)"
h-border-0-0-1-0,"rgb(218, 218, 218)"
h-border-0-1-1-1,"rgb(218, 218, 218)"
h-border-0-2-1-2,"rgb(218, 218, 218)"
h-border-0-3-1-3,"rgb(218, 218, 218)"
h-border-0-4-1-4,"rgb(218, 218, 218)"
h-border-0-5-1-5,"rgb(218, 218, 218)"
h-border-0-6-1-6,"rgb(218, 218, 218)"
h-border-0-7-1-7,"rgb(218, 218, 218)"
h-border-0-8-1-8,"rgb(218, 218, 218)"
h-border-0-9-1-9,"rgb(218, 218, 218)"
h-border-0-10-1-10,"rgb(218, 218, 218)"
h-border-0-11-1-11,"rgb(218, 218, 218)"
h-border-0-12-1-12,"rgb(218, 218, 218)"
h-border-0-13-1-13,"rgb(218, 218, 218)"
h-border-0-14-1-14,"rgb(218, 218, 218)"
h-border-0-15-1-15,"rgb(218, 218, 218)"
h-border-0-16-1-16,"rgb(218, 218, 218)"
h-border-0-17-1-17,"rgb(218, 218, 218)"
h-border-0-18-1-18,"rgb(218, 218, 218)"
h-border-0-19-1-19,"rgb(218, 218, 218)"
h-border-0-20-1-20,"rgb(218, 218, 218)"
h-border-0-21-1-21,"rgb(218, 218, 218)"
h-border-0-22-1-22,"rgb(218, 218, 218)"
h-border-0-23-1-23,"rgb(218, 218, 218)"
h-border-0-24-1-24,"rgb(218, 218, 218)"
h-border-0-25-1-25,"rgb(218, 218, 218)"
h-border-0-26-1-26,"rgb(218, 218, 218)"
h-border-0-27-1-27,"rgb(218, 218, 218)"
h-border-0-28-1-28,"rgb(218, 218, 218)"
h-border-0-29-1-29,"rgb(218, 218, 218)"
h-border-0-30-1-30,"rgb(218, 218, 218)"
h-border-0-31-1-31,"rgb(218, 218, 218)"
v-border-1-0-1-1,"rgb(218, 218, 218)"
v-border-1-1-1-2,"rgb(218, 218, 218)"
v-border-1-2-1-3,"rgb(218, 218, 218)"
v-border-1-3-1-4,"rgb(218, 218, 218)"
v-border-1-4-1-5,"rgb(218, 218, 218)"
v-border-1-5-1-6,"rgb(218, 218, 218)"
v-border-1-6-1-7,"rgb(218, 218, 218)"
v-border-1-7-1-8,"rgb(218, 218, 218)"
v-border-1-8-1-9,"rgb(218, 218, 218)"
v-border-1-9-1-10,"rgb(218, 218, 218)"
v-border-1-10-1-11,"rgb(218, 218, 218)"
v-border-1-11-1-12,"rgb(218, 218, 218)"
v-border-1-12-1-13,"rgb(218, 218, 218)"
v-border-1-13-1-14,"rgb(218, 218, 218)"
v-border-1-14-1-15,"rgb(218, 218, 218)"
v-border-1-15-1-16,black
v-border-1-16-1-17,"rgb(218, 218, 218)"
v-border-1-17-1-18,"rgb(218, 218, 218)"
v-border-1-18-1-19,"rgb(218, 218, 218)"
v-border-1-19-1-20,"rgb(218, 218, 218)"
v-border-1-20-1-21,"rgb(218, 218, 218)"
v-border-1-21-1-22,"rgb(218, 218, 218)"
v-border-1-22-1-23,"rgb(218, 218, 218)"
v-border-1-23-1-24,"rgb(218, 218, 218)"
v-border-1-24-1-25,"rgb(218, 218, 218)"
v-border-1-25-1-26,"rgb(218, 218, 218)"
v-border-1-26-1-27,"rgb(218, 218, 218)"
v-border-1-27-1-28,"rgb(218, 218, 218)"
v-border-1-28-1-29,"rgb(218, 218, 218)"
v-border-1-29-1-30,"rgb(218, 218, 218)"
v-border-1-30-1-31,"rgb(218, 218, 218)"
h-border-1-0-2-0,"rgb(218, 218, 218)"
h-border-1-1-2-1,"rgb(218, 218, 218)"
h-border-1-2-2-2,"rgb(218, 218, 218)"
h-border-1-3-2-3,"rgb(218, 218, 218)"
h-border-1-4-2-4,"rgb(218, 218, 218)"
h-border-1-5-2-5,"rgb(218, 218, 218)"
h-border-1-6-2-6,"rgb(218, 218, 218)"
h-border-1-7-2-7,"rgb(218, 218, 218)"
h-border-1-8-2-8,"rgb(218, 218, 218)"
h-border-1-9-2-9,"rgb(218, 218, 218)"
h-border-1-10-2-10,"rgb(218, 218, 218)"
h-border-1-11-2-11,"rgb(218, 218, 218)"
h-border-1-12-2-12,"rgb(218, 218, 218)"
h-border-1-13-2-13,"rgb(218, 218, 218)"
h-border-1-14-2-14,"rgb(218, 218, 218)"
h-border-1-15-2-15,"rgb(218, 218, 218)"
h-border-1-16-2-16,"rgb(218, 218, 218)"
h-border-1-17-2-17,"rgb(218, 218, 218)"
h-border-1-18-2-18,"rgb(218, 218, 218)"
h-border-1-19-2-19,"rgb(218, 218, 218)"
h-border-1-20-2-20,"rgb(218, 218, 218)"
h-border-1-21-2-21,"rgb(218, 218, 218)"
h-border-1-22-2-22,"rgb(218, 218, 218)"
h-border-1-23-2-23,"rgb(218, 218, 218)"
h-border-1-24-2-24,"rgb(218, 218, 218)"
h-border-1-25-2-25,"rgb(218, 218, 218)"
h-border-1-26-2-26,"rgb(218, 218, 218)"
h-border-1-27-2-27,"rgb(218, 218, 218)"
h-border-1-28-2-28,"rgb(218, 218, 218)"
h-border-1-29-2-29,"rgb(218, 218, 218)"
h-border-1-30-2-30,"rgb(218, 218, 218)"
h-border-1-31-2-31,"rgb(218, 218, 218)"
v-border-2-0-2-1,"rgb(218, 218, 218)"
v-border-2-1-2-2,"rgb(218, 218, 218)"
v-border-2-2-2-3,"rgb(218, 218, 218)"
v-border-2-3-2-4,"rgb(218, 218, 218)"
v-border-2-4-2-5,"rgb(218, 218, 218)"
v-border-2-5-2-6,"rgb(218, 218, 218)"
v-border-2-6-2-7,"rgb(218, 218, 218)"
v-border-2-7-2-8,"rgb(218, 218, 218)"
v-border-2-8-2-9,"rgb(218, 218, 218)"
v-border-2-9-2-10,"rgb(218, 218, 218)"
v-border-2-10-2-11,"rgb(218, 218, 218)"
v-border-2-11-2-12,"rgb(218, 218, 218)"
v-border-2-12-2-13,"rgb(218, 218, 218)"
v-border-2-13-2-14,"rgb(218, 218, 218)"
v-border-2-14-2-15,"rgb(218, 218, 218)"
v-border-2-15-2-16,black
v-border-2-16-2-17,"rgb(218, 218, 218)"
v-border-2-17-2-18,"rgb(218, 218, 218)"
v-border-2-18-2-19,"rgb(218, 218, 218)"
v-border-2-19-2-20,"rgb(218, 218, 218)"
v-border-2-20-2-21,"rgb(218, 218, 218)"
v-border-2-21-2-22,"rgb(218, 218, 218)"
v-border-2-22-2-23,"rgb(218, 218, 218)"
v-border-2-23-2-24,"rgb(218, 218, 218)"
v-border-2-24-2-25,"rgb(218, 218, 218)"
v-border-2-25-2-26,"rgb(218, 218, 218)"
v-border-2-26-2-27,"rgb(218, 218, 218)"
v-border-2-27-2-28,"rgb(218, 218, 218)"
v-border-2-28-2-29,"rgb(218, 218, 218)"
v-border-2-29-2-30,"rgb(218, 218, 218)"
v-border-2-30-2-31,"rgb(218, 218, 218)"
h-border-2-0-3-0,"rgb(218, 218, 218)"
h-border-2-1-3-1,"rgb(218, 218, 218)"
h-border-2-2-3-2,"rgb(218, 218, 218)"
h-border-2-3-3-3,"rgb(218, 218, 218)"
h-border-2-4-3-4,"rgb(218, 218, 218)"
h-border-2-5-3-5,"rgb(218, 218, 218)"
h-border-2-6-3-6,"rgb(218, 218, 218)"
