THINID,COLOR
v-border-0-0-0-1,"white"
v-border-0-1-0-2,"white"
v-border-0-2-0-3,"white"
v-border-0-3-0-4,"white"
v-border-0-4-0-5,"white"
v-border-0-5-0-6,"white"
v-border-0-6-0-7,"white"
v-border-0-7-0-8,"white"
v-border-0-8-0-9,"white"
v-border-0-9-0-10,"white"
v-border-0-10-0-11,"white"
v-border-0-11-0-12,"white"
v-border-0-12-0-13,"white"
v-border-0-13-0-14,"white"
v-border-0-14-0-15,"white"
v-border-0-15-0-16,black
v-border-0-16-0-17,"white"
v-border-0-17-0-18,"white"
v-border-0-18-0-19,"white"
v-border-0-19-0-20,"white"
v-border-0-20-0-21,"white"
v-border-0-21-0-22,"white"
v-border-0-22-0-23,"white"
v-border-0-23-0-24,"white"
v-border-0-24-0-25,"white"
v-border-0-25-0-26,"white"
v-border-0-26-0-27,"white"
v-border-0-27-0-28,"white"
v-border-0-28-0-29,"white"
v-border-0-29-0-30,"white"
v-border-0-30-0-31,"white"
h-border-0-0-1-0,"white"
h-border-0-1-1-1,"white"
h-border-0-2-1-2,"white"
h-border-0-3-1-3,"white"
h-border-0-4-1-4,"white"
h-border-0-5-1-5,"white"
h-border-0-6-1-6,"white"
h-border-0-7-1-7,"white"
h-border-0-8-1-8,"white"
h-border-0-9-1-9,"white"
h-border-0-10-1-10,"white"
h-border-0-11-1-11,"white"
h-border-0-12-1-12,"white"
h-border-0-13-1-13,"white"
h-border-0-14-1-14,"white"
h-border-0-15-1-15,"white"
h-border-0-16-1-16,"white"
h-border-0-17-1-17,"white"
h-border-0-18-1-18,"white"
h-border-0-19-1-19,"white"
h-border-0-20-1-20,"white"
h-border-0-21-1-21,"white"
h-border-0-22-1-22,"white"
h-border-0-23-1-23,"white"
h-border-0-24-1-24,"white"
h-border-0-25-1-25,"white"
h-border-0-26-1-26,"white"
h-border-0-27-1-27,"white"
h-border-0-28-1-28,"white"
h-border-0-29-1-29,"white"
h-border-0-30-1-30,"white"
h-border-0-31-1-31,"white"
v-border-1-0-1-1,"white"
v-border-1-1-1-2,"white"
v-border-1-2-1-3,"white"
v-border-1-3-1-4,"white"
v-border-1-4-1-5,"white"
v-border-1-5-1-6,"white"
v-border-1-6-1-7,"white"
v-border-1-7-1-8,"white"
v-border-1-8-1-9,"white"
v-border-1-9-1-10,"white"
v-border-1-10-1-11,"white"
v-border-1-11-1-12,"white"
v-border-1-12-1-13,"white"
v-border-1-13-1-14,"white"
v-border-1-14-1-15,"white"
v-border-1-15-1-16,black
v-border-1-16-1-17,"white"
v-border-1-17-1-18,"white"
v-border-1-18-1-19,"white"
v-border-1-19-1-20,"white"
v-border-1-20-1-21,"white"
v-border-1-21-1-22,"white"
v-border-1-22-1-23,"white"
v-border-1-23-1-24,"white"
v-border-1-24-1-25,"white"
v-border-1-25-1-26,"white"
v-border-1-26-1-27,"white"
v-border-1-27-1-28,"white"
v-border-1-28-1-29,"white"
v-border-1-29-1-30,"white"
v-border-1-30-1-31,"white"
h-border-1-0-2-0,"white"
h-border-1-1-2-1,"white"
h-border-1-2-2-2,"white"
h-border-1-3-2-3,"white"
h-border-1-4-2-4,"white"
h-border-1-5-2-5,"white"
h-border-1-6-2-6,"white"
h-border-1-7-2-7,"white"
h-border-1-8-2-8,"white"
h-border-1-9-2-9,"white"
h-border-1-10-2-10,"white"
h-border-1-11-2-11,"white"
h-border-1-12-2-12,"white"
h-border-1-13-2-13,"white"
h-border-1-14-2-14,"white"
h-border-1-15-2-15,"white"
h-border-1-16-2-16,"white"
h-border-1-17-2-17,"white"
